pathway	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
P441-PWY	13342.96293841337	17131.103266504415	9613.634601039605	9221.02361660273	10032.481867692997	10554.88792431326	14859.976208037531	11639.768760869023	12277.21279634052	8750.112358520704	7298.905276007636	5418.621327139707	10008.450406164451	10703.398406000451	8464.649253720003	15200.690480009547
P461-PWY	6062.045961556998	3955.7785900893755	5100.575695154681	4911.703909795626	5353.399153463031	5352.7047734509815	6787.994817875203	4170.381031706277	6175.230239067826	4294.8559136029535	3217.171468646656	1874.2467631112459	5580.756590826909	6337.321440701301	4440.1274569109255	6862.9101699137245
P562-PWY	222.08957047376842	69.1471723511299	62.03437471709043	4.791058746827485	97.20682961885407	31.279468215126982	153.2858916671675	0.0	0.0	46.81462235271558	38.13481228668942	6.588487155090389	22.377581903510677	8.202531645569621	0.0	3.8008684203008825
PANTO-PWY	6509.358571919154	6265.636608558195	2476.1619377904185	3301.3494350844617	3800.317428419144	4189.637918153944	8099.838499729326	5940.791239752971	3639.531098948516	3831.615699886785	5022.827713535074	3477.8954835159902	4822.421624760744	3718.861115188949	2485.5908800338957	5497.314081005997
PANTOSYN-PWY	8059.108052880372	8064.266233799622	3378.060213231195	4354.716040038789	4949.685648881546	5615.222439451574	9829.880042110453	7530.878580771461	4967.727283629203	4986.956192013882	6463.64111794152	5168.592722365613	6106.2076424846855	4844.988529507073	3538.7603459992133	7821.571794020371
PENTOSE-P-PWY	10862.343959977898	9072.670550161485	4656.297173111797	4490.7476528809975	5334.333245926503	6273.0581613215045	11462.518948278255	8857.04751855814	4251.816724145961	6471.784023932159	7557.597640569301	5539.987546555217	7495.587182442986	5617.469311298689	3689.8085767502675	9684.771860658215
PEPTIDOGLYCANSYN-PWY	17451.26082628191	21206.931694338677	12455.542596312309	13327.17822810459	15464.006282067225	16003.350382483097	19800.70692105396	16762.50482470128	18847.298429284107	12607.544036490264	13268.792434711344	22524.513218420347	13614.19650445429	13720.007531512021	13460.14229797478	26285.89907413244
PHOSLIPSYN-PWY	18452.22595169739	21841.465248320506	12747.665173849502	13492.194132274191	15977.285721781458	16192.119400427855	20685.775987213845	17264.571114989038	18801.667592397753	12729.144647739857	14304.37735615883	22300.60634305271	14464.358705194361	13890.94389553303	13529.835121079394	26708.0372576069
POLYAMINSYN3-PWY	449.8824948163057	37.890309595338984	207.51066832112926	0.0	15.831107171673013	210.752374896424	994.6076237065821	131.76885802924414	36.51831032723315	156.72656388868182	52.57338402849591	12.675731320920592	327.24709221327726	49.295258244561516	0.0	60.073095299805225
POLYAMSYN-PWY	1503.450014260535	524.6837303919159	363.3258887813768	354.23773504660625	898.5360057555602	1104.5164010886658	1449.0005830302464	1226.9888653304379	420.0823772707043	1416.9556291189149	871.6033475719463	780.8519608090396	709.9368111892694	743.8065764351047	302.8030879581825	1091.6924266906608
POLYISOPRENSYN-PWY	12461.53911094793	16691.967803127925	10665.634750113246	11470.05401599463	13309.98539921325	13349.352905728001	15291.875410438613	13663.303840664797	16433.37271506715	9912.261161847118	9584.813065696406	19417.387371185396	10443.892161372356	11245.27095593401	11811.420552587691	22101.8109540053
PPGPPMET-PWY	8.323424805348084	1372.8575058727642	265.2545087510314	446.67264129251566	799.6808223444211	238.44929917094998	1699.6378377449182	1332.6224372603626	1093.9405117981464	0.0	1956.8219126256347	1119.5645877930724	1891.6366470683772	1830.9312866903651	944.8005650618754	2903.0060817574704
PRPP-PWY	9512.97636682925	8606.576160796409	3637.4264534630825	6100.041965710508	6624.599738605487	7890.864609324108	11652.435423388082	9497.717779110608	8883.974495261848	7138.341891385461	7768.823572507752	12073.040473806312	6988.767590561709	7647.102679871685	6224.22224321147	13882.387869140624
PWY-1269	2067.246102666213	3581.9635292092194	1190.8292538266292	1489.690881542652	2015.5677850952975	2385.8057461429757	3675.3035340310857	3572.4296120521144	2018.9507743603592	2145.139906317206	1764.6523816469573	2610.8884569813304	2542.0956959366104	2014.0732955995124	1581.3324779515979	3234.7344734137964
PWY-181	0.0	248.1822687130673	366.3762501008778	85.04877894450287	15.843987433978139	123.8731720592387	100.45867702306535	0.0	66.43939680713046	203.68013733316138	133.1277461855216	46.66952916433761	404.73404892105674	36.844155959693644	99.12071726517456	227.6866312312293
PWY-1861	2227.4949955113066	607.6991965154768	441.3245415666434	122.87915722800588	172.649281508993	265.4196922895879	492.13586270238915	0.0	71.2339152724328	565.0550982023432	569.244568295295	37.83188952313424	1347.3702984371755	1205.7994809830805	102.27188511530106	369.13790094178387
PWY-2941	11933.662814114172	14484.248957959286	7775.501540529119	9366.234153005755	8281.25326428222	9677.62513872744	12561.54121571771	9053.592844672732	15795.876854879012	9562.688279550728	10071.067060981688	19804.68917173006	10240.581592229693	10826.570118891448	8742.847931486935	22770.989489472962
PWY-2942	16845.461157574715	18165.750746642254	8848.573768122353	10259.195734690496	9585.25382805565	11690.707435103925	16869.937321443966	11816.980897530739	16668.91789326696	11811.884598957407	13143.435414033886	20980.089321340743	12989.22541132427	12269.496161187542	9442.286724934107	24937.408945617575
PWY-3001	12799.722803330576	12774.270807468829	5836.928460017628	5833.967515312553	6054.534474578399	8099.253962502516	12981.021205998246	8659.460201959424	6802.717869386067	8732.345668329259	10657.219271507425	8862.65787956338	8532.90029373542	7893.360518740344	4733.456661591526	15079.497116353918
PWY-3781	123.0697076547984	1267.3634323817207	1058.4516485969834	2053.637748275873	2411.7648975440366	4009.8376474974175	5671.118637292811	3276.060898029269	2365.2062740412525	1449.1462641079506	1777.08326487123	3011.817307535426	1691.5762086635955	1616.9715789404593	1801.4232381384682	3590.7126073044415
PWY-4984	274.0638141103356	4666.239382257294	1194.7691311285425	1772.159854285903	3646.9119547433165	2850.011030285341	4177.557386830878	4425.7523444817625	4476.148168685738	2284.772353196823	2421.7706295241787	2417.435015597578	6157.255519036566	4109.587632054918	2734.0484091710223	4185.426908653092
PWY-5005	0.0	81.64552821481834	166.51831023537818	28.550676480033662	4.7948469862563154	40.44825209994258	31.069783664367275	0.0	20.70796612122828	86.18313499235651	41.14349225409601	14.358591186691898	133.5428578706752	11.17855063912457	31.68695241657907	71.28226104744859
PWY-5022	423.05618127444495	74.708926999889	180.36841550071668	93.43336010526414	404.4502433877891	576.311840632243	791.4279637503864	34.73293102540085	26.604535430121878	259.61419786499295	543.5299487835612	264.34633434695684	642.0248655210158	368.4083257786335	52.87418734590421	544.2499429045034
PWY-5088	11.717771509544518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5097	16899.26270809336	18043.2605446489	8834.706914679828	10210.750125231945	9525.258893874487	11575.899423779343	16703.128432145837	11710.55144241257	16612.744912331025	11706.868490299094	13098.654693526196	20915.87129669998	12953.61846589599	12198.113244341694	9403.177403310434	24835.09524553793
PWY-5100	21969.23666660669	28933.941881448198	16381.286636498673	17021.73596892557	19589.810609764296	20110.749679494085	24432.18919241598	20598.780069757617	24349.014848669198	15906.064867942101	15612.014008937904	27122.432487330436	16725.838374541974	17666.259797165996	17058.440997981103	32381.43121362097
PWY-5101	15703.00512976027	11690.589984057378	5090.023554639221	4448.317002830484	5010.395449860883	7224.617590095408	14054.374548937532	8240.709655048893	4590.10552548068	8575.933316109986	11687.156157040055	5900.291617003179	9302.285022944601	6774.2852437517395	3460.1032848017812	11965.873080259003
PWY-5103	12112.845625080006	10001.335750890683	3913.2402019603605	3498.934254540666	4152.221488426647	5924.386730787173	11009.050848495932	6876.346492405786	3803.4329642602984	6596.179710892003	9110.412397337663	4914.77440240418	7618.587294582982	5597.951192436367	2907.4185695760143	9164.88538973848
PWY-5104	14957.307370634073	11466.250916561745	4726.366540860287	4022.346778264487	4880.167842554294	6729.148465937448	13593.31871769503	7782.964641837896	4434.156153359175	7900.025103953007	11546.471994313759	5661.949247911214	9077.652852491661	6748.242818974313	3348.893714196106	12013.943611918743
PWY-5121	11300.088848124436	12228.078336259587	4766.75682556965	4264.26580412402	5591.923252855289	7194.434362292538	11347.578101271743	8375.600800934584	4905.612847740731	6818.9876413012	8150.7669774989645	5829.173784175003	8106.105158378362	6423.32374744461	3667.907737446798	9494.547681724174
PWY-5154	4083.933529225034	5575.5343681008335	2112.427701440498	2408.3389520819387	2973.7074778749898	3636.318541398374	5430.421427596211	4903.956221620433	2882.133338332143	3710.733986609306	1718.1075286088765	3454.292414578722	3183.83622229772	2285.75882799312	2136.3144682537677	3795.3991646253085
PWY-5177	81.03429542291994	115.4742120416923	165.95082298920585	13.805291297348813	247.23107634251332	551.9833690667789	669.6276451048782	289.35548353326993	74.55531391884506	264.7690625459145	150.04953976260785	67.8815743138952	153.9224765660277	46.939865373623775	40.90265942377895	300.5955554002639
PWY-5188	3931.4539859939423	6256.912639241902	1529.018754675705	1299.2539396039992	2131.212866429956	2364.617320374756	4951.233675220341	2902.467064873856	2027.712882235557	1812.0901942369908	3671.586230420144	1406.014755132439	3698.829640702756	2700.152636916543	1284.415074337415	3344.510398448011
PWY-5189	3897.475722188348	6081.788108680277	1447.9823642780557	1246.4144808547082	2020.1853520462753	2200.6675369856994	4724.123726842245	2722.7650436716813	1926.8232601118475	1673.8969611407128	3503.030251884991	1265.2812533774063	3538.9786874304714	2530.728669313527	1207.3073300414042	3183.7627397109068
PWY-5265	69.41700314286022	224.31162400381805	209.27806023482856	183.72023212569908	358.9210252254329	531.0878581499643	45.235462013735585	0.0	27.953303765845174	155.23898067996308	150.178019410014	0.0	0.0	0.0	0.0	28.77001387198466
PWY-5304	5.34	205.32	293.32	60.0	165.5	185.0	412.5	191.0	76.0	182.68	110.66000000000001	75.0	272.0	40.0	69.32	164.0
PWY-5345	194.45914248751814	486.20249065775545	571.7355125852298	809.7125022992814	858.1591019872825	1094.4593055929845	2521.257302030291	1196.0364688504599	823.2527731565422	866.995111307267	526.3548113654741	1270.6433827248375	1166.2089803525616	251.94023457691054	605.9055205455104	1158.753910292852
PWY-5347	396.98120494531094	3445.6313624786094	1292.0987864573417	1293.672247886313	2001.0044161427986	1720.455060001474	4209.29987975934	3391.22334868024	2352.214933391479	1507.9901595817964	4008.692809030819	2436.947922535746	3887.901521055533	3609.5599296463	1867.710005210048	5470.329197721781
PWY-5384	4428.579431226844	10731.29663932559	4088.947536497592	5097.218605006134	4747.864160230806	3565.3208901013313	6027.723034631818	5689.717195541012	7174.775691948629	2917.49945508385	506.4657712037247	0.0	2445.802207728012	3845.5895078995027	1969.1821173142653	1550.0170063545086
PWY-5419	0.0	0.0	0.0	0.0	2.1835365568520233	8.463990744223448	0.0	5.065231868834514	0.893319645428689	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5484	17108.09395597625	20466.630090769024	10242.823211275876	11101.810718973826	12046.998962527938	12652.991024959205	18711.42116537443	14031.844321248023	15331.708263901544	10773.041785953435	12658.852286666848	12270.955360703167	13208.21250441172	10852.872081955897	8153.279347713335	19833.473516846938
PWY-5505	10329.846487404016	8095.03963357298	2702.6845052607837	1724.0994137644916	1645.5715957694435	2786.434761397582	7638.34707675624	2911.4804472093374	1020.8300860118234	3953.5444428567207	7373.246051449256	1029.8087085237198	5374.841054723583	3299.2942538735847	726.4027735561026	5119.639132655221
PWY-5509	7028.702375347595	5661.925266998143	1524.8988753713593	1103.3433289879476	1493.6932311708117	2070.401211674144	4926.665513767525	2424.8858749746864	1260.4770681976968	2491.600155397579	4433.945204087952	753.0332593199226	3056.106514603526	1781.7708141904739	644.9182298465175	2798.612636426537
PWY-5659	5726.446516341359	10653.090537471759	3485.829961617106	3727.787382020294	5854.357139206723	6976.21688223109	9639.999707957479	8688.054673641058	5073.577665640539	6093.836208867937	5476.736595996827	7004.380999063766	6832.631834406888	5771.377196226829	3763.1750497508733	8807.590484506178
PWY-5667	20008.41748245212	23008.915674526816	13413.168380570783	14236.999696957722	16517.09361553846	17302.41347985709	22288.743234383834	18068.96586891914	19664.699144813203	13696.521415587567	15170.483319963421	23435.678823656846	15134.36133522901	14476.171153488787	14161.372114834165	27961.581837004836
PWY-5676	929.3186066529188	814.704878356933	382.36101403830236	157.4682219965548	0.0	186.46169640358733	988.5941241124531	0.0	98.88664642242465	411.3873226081054	864.4080372234486	61.3488189263219	1912.0783863996526	55.07368300637	137.67286676361843	931.824235319281
PWY-5677	9.962378221401263	0.0	64.7776224093712	0.0	0.0	0.0	282.56198123791637	0.0	0.0	7.835657997212569	40.37521144764426	106.42847966925116	0.0	0.0	0.0	9.313719039147276
PWY-5686	18790.17206746603	23021.250661858758	13151.2255677313	13703.417893709713	16006.201232355417	16520.845872030768	21236.257537367703	17661.39769236355	19374.610826731256	13183.715142784915	14138.300001469795	22212.828442308273	15014.292819734306	14490.769335467146	14023.861651592151	26784.564518867166
PWY-5695	8260.885358157986	15367.18307897064	6146.953523713465	7391.2594341072045	8232.630343215991	8189.897263824947	12007.728702130122	10583.55885195689	11520.96851770796	7006.024676265714	4275.357405935408	6711.247032404385	9138.227595425073	7897.538468723161	6217.089546331004	9135.143636015535
