normalized	AD1	AD5	AD6	AD8	AP2	AP3	AP4	AP5	AP6	AP7	CON1	CON3	CON4	CON5	CON6	CON8
21a1e0c27c5db9fe1d5d9cc3a7a044ea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
23389a84b5739cc81c733bc0db2d22a7	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2338e16dcfef0e1b5cb27da81fe59664	442.0	1100.0	117.0	299.0	651.0	433.0	669.0	570.0	750.0	197.0	0.0	0.0	226.0	367.0	241.0	102.0
24c4fc8d92f312082431066119d04204	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25362e54b2396a81f9e113419dd98905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
25a192f0b729be243d04cc593fdfccce	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2600eb1fc8569dc356b031c82a282aa0	0.0	0.0	5.0	6.0	4.5	9.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	2.0	0.0	5.5
26672648de2181a2c04ca33e88a1afd1	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26e23794e07c317178b6881a0521e3ce	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
273314edefe5cc51abc11266f8d0c074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
2734cae6fb1193b99fa501d6168b273e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0
275f5d7388062a98d2bdce0dd59bfd7d	0.0	3.0	0.0	0.0	3.75	10.75	11.25	0.0	3.0	2.75	0.0	6.75	0.0	0.0	0.0	0.0
277fdf63cae1ed08041a21be01b91953	51.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
280bb2b566730f0f4789993ca17ff357	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
280cee65d2c6f4f04cb4c12450e0ce84	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
283bb90bbef8d5eaa4ff6fddc6725806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
28c8823588cb4b3946d2de7685605e61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
29ba1135e5ed248a64839a8571230863	0.0	64.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	39.0	84.0	0.0	84.0	25.0	0.0	21.0
2a7a5cb9153f70133cb37251e8374117	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	20.0	0.0	120.0
2b036c10ab6b64e84b22b84711aef6ef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	4.0	21.0	7.0	0.0	11.0	4.0	10.0
2b7c0068298ebe7bad8d7debd9795f6c	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2bd2f1b380bc3255d4532f30690431bf	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2bf06c9a8754351bc68c7fefd8b6151b	0.0	9.0	0.0	0.0	0.0	19.75	9.25	0.0	0.0	0.0	0.0	13.5	0.0	0.0	6.0	7.75
2c3a5409306662337b339e7c79e65dda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
2c72272f87ad3fb1bb14bc3c2477a2d0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d16b7f72c11e9b2bb521f49193629ec	83.0	0.0	0.0	8.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0
2d23d5207120d2a9f97aa5863ef04387	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d257553a6e4a29d1049474d2805c1fb	28.5	0.0	7.5	0.0	0.0	10.5	7.5	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0
2d40b65cf95502894aae61bb6692539f	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d7cbd5bbe37bf0a7e96d6a1029236ac	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2e44846592a14c5147ccb92700a49a77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0
2eb2b317e3106a477a34836339150858	0.0	20.0	0.0	0.0	0.0	38.0	61.0	19.0	0.0	41.0	41.0	9.0	0.0	0.0	0.0	0.0
2f2b710b6e43a7e2e0d375c48d9c0c9d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
2f3367988d9c042e164281d72e718b9b	336.0	0.0	44.0	22.0	76.0	0.0	103.0	0.0	0.0	0.0	222.0	46.0	191.0	0.0	0.0	0.0
2f37f6dfd5a9e76f2de09f6b7c189a6a	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2f84e0f713ad12b7f80d875da9bd194a	39.0	12.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30df889925fa7e6e7c2cb1b2d2ce8b45	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0
3111f9924447489571a8ab8981721b20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	9.0	0.0	0.0
32833a4c9aee19c697d504bb90cb45da	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
32c2759f0dd9ff9d0820daa70f8f5012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0
338e6f8d061eb6d15b4464f42ba41b7d	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33ca47e9f0205462bd8ce281f2ba04df	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34153e727eec04478be507cc5343405a	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
3422b9ae8482a9d14c0c6fdca9b608ab	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	13.0	10.0	33.0	0.0	0.0	0.0
