"OTUID"	"AD1"	"AD5"	"AD6"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"	"Taxon"	"Confidence"
"5c47bef8f5da9056d79608d94aec1606"	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.997717460597892
"5cbf0b2efd8f80a169ab74ad33079e39"	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999920014414846
"5cccb749e8c283919cc185f2e25c8565"	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae"	0.99973748754676
"5d06951cab74f080ed1f8581c7cbfdf6"	0	0	0	0	0	24	15	20	6	6	20	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__unidentified"	0.978945946160616
"5d2f0d410604218eab1553c0ba95e87b"	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Anaerovoracaceae; g__Anaerovorax; s__uncultured_bacterium"	0.851758703639692
"5d3041aa731be2695ce5893b43076e02"	0	0	0	0	0	7	10	5	0	7	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_bacterium"	0.867296625793631
"5dd973a030569248ca96ad682787eeb0"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae; s__unidentified"	0.758599057159759
"5e17a5cb4962111829d5a3162b84253a"	0	0	0	0	0	0	41	0	0	6	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__uncultured"	0.962130006719075
"5e59e92b5203cf88b45515feb4dd90a1"	0	11	0	0	0	0	0	9	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__unidentified"	0.966390641888394
"5e61e1707fb2129594d211ba454470e4"	0	0	0	0	0	0	0	0	0	0	33	0	34	0	0	45	"d__Bacteria; p__Deferribacterota; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum; s__Mucispirillum_schaedleri"	0.889975673818458
"5ed5a1891a09adf426bf256d58494dc8"	0	0	0	12	22	0	0	0	0	0	0	0	91	50	24	86	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__ASF356; s__uncultured_bacterium"	0.820044441875979
"5f5ca726fd3f6d6e6a1b3f6811443574"	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014"	0.999999382591076
"5fb94f804715b4d90f191c413efef44e"	0	35	165	73	0	0	0	0	72	24	71	0	256	1234	104	0	"d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalibaculum"	0.999999990391812
"5fc6f86d85f03ca7537c25730cfcf460"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__ASF356"	0.920745690478923
"5fc798b1df3bcda5e68c5d88d8d39402"	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999985765631223
"600c9f3de23a5834c65cdf6b56a7c81d"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae"	0.999539225957932
"6010509f0fb5b3456410405a3ab013bd"	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae"	0.999815702003233
"605c17c16f33905999869770413b1a8f"	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	"d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides"	0.999999980001002
"6166cd8b69d6af6ba6e209d4d4f839eb"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae"	0.995966062709363
